species,assay_id,document_id,document_doi,document_title,base_connectivity_key,fluorinated_connectivity_key,base_smiles,fluorinated_smiles,transformation,n_f_added,fluorinated_center_atom_index,formula_delta_ok,formula_delta_atomic_numbers,base_log10_clint,fluorinated_log10_clint,delta_log10_clint_f_minus_base,improved_after_fluorination,base_record_count,fluorinated_record_count,base_replicate_range_log10,fluorinated_replicate_range_log10,pair_max_replicate_range_log10,base_source_standard_types,fluorinated_source_standard_types,base_source_standard_units,fluorinated_source_standard_units,base_source_scaled_units,fluorinated_source_scaled_units,source_endpoint_type_match,source_unit_match,base_has_non_equality_record_in_assay,fluorinated_has_non_equality_record_in_assay,has_traceable_publication,overlap_any_previous_dataset,primary_quality_eligible,selected_primary_observation,manual_review_status,manual_review_note
HLM,2104609,120208,10.1016/j.bmcl.2021.128133,Identification of aryl sulfonamides as novel and potent inhibitors of Na<sub>V</sub>1.5.,AUEWXTDRFSZXFQ,VBLCBSQHABJKEB,O=S(=O)(Nc1cccc(F)n1)c1cc(F)c(O[C@H]2CCN(CC(F)(F)F)C[C@@H]2c2ccc(F)cc2)cc1F,O=S(=O)(Nc1cccc(F)n1)c1cc(F)c(O[C@H]2CCN(CC(F)(F)F)C[C@@H]2c2ccc(F)cc2F)cc1F,Ar-H_to_Ar-F,1,34,1,"{""1"": -1, ""9"": 1}",1.0413926851582251,1.1139433523068367,0.07255066714861158,0,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.kg-1,mL.min-1.kg-1,,,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,2104609,120208,10.1016/j.bmcl.2021.128133,Identification of aryl sulfonamides as novel and potent inhibitors of Na<sub>V</sub>1.5.,AUEWXTDRFSZXFQ,ZBLYTMOPDJSMFJ,O=S(=O)(Nc1cccc(F)n1)c1cc(F)c(O[C@H]2CCN(CC(F)(F)F)C[C@@H]2c2ccc(F)cc2)cc1F,O=S(=O)(Nc1cccc(F)n1)c1cc(F)c(O[C@H]2CCN(CC(F)(F)F)C[C@@H]2c2ccc(F)c(F)c2)cc1F,Ar-H_to_Ar-F,1,33,1,"{""1"": -1, ""9"": 1}",1.0413926851582251,0.8750612633917001,-0.16633142176652504,1,1,3,0.0,0.10914446942506806,0.10914446942506806,CL,CL,mL.min-1.kg-1,mL.min-1.kg-1,,,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,1823920,110814,10.1021/acs.jmedchem.9b01429,Chagas Disease Drug Discovery: Multiparametric Lead Optimization against Trypanosoma cruzi in Acylaminobenzothiazole Series.,AUWFNRLZSDSEDU,VPURVZUDBXBHDF,O=C(Nc1nc2ccc(C(F)(F)F)cc2s1)C1CC1,O=C(Nc1nc2cc(F)c(C(F)(F)F)cc2s1)C1CC1,Ar-H_to_Ar-F,1,7,1,"{""1"": -1, ""9"": 1}",0.04131371534586026,-0.31903028153410284,-0.3603439968799631,1,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.g-1,mL.min-1.g-1,mL.min-1.kg-1,mL.min-1.kg-1,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,388720,31600,10.1016/j.bmcl.2006.05.075,Substituted chromones and quinolones as potent melanin-concentrating hormone receptor 1 antagonists.,AXVWTTUGPPVVFI,WSQVGZGGLQLIDC,CN(C)C1CCN(c2ccc(-c3coc4cc(Oc5ccccc5)ccc4c3=O)cn2)C1,CN(C)C1CCN(c2ccc(-c3coc4cc(Oc5ccc(F)cc5)ccc4c3=O)cn2)C1,Ar-H_to_Ar-F,1,21,1,"{""1"": -1, ""9"": 1}",1.4913616938342726,0.47712125471966244,-1.0142404391146103,1,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.kg-1,mL.min-1.kg-1,,,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,810398,61433,10.1016/j.bmcl.2011.10.033,"Discovery, optimisation and in vivo evaluation of novel GPR119 agonists.",AZRVSANIIWCDJQ,HURJLSALROQLKR,CN(C(=O)Cc1ccc(-n2cnnn2)cc1)C1CCN(Cc2ccc(C(F)(F)F)cc2)CC1,CN(C(=O)Cc1ccc(-n2cnnn2)cc1)C1CCN(Cc2ccc(C(F)(F)F)c(F)c2)CC1,Ar-H_to_Ar-F,1,29,1,"{""1"": -1, ""9"": 1}",0.9132839017604184,1.2143138974243997,0.30102999566398125,0,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.g-1,mL.min-1.g-1,mL.min-1.kg-1,mL.min-1.kg-1,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,2149058,121597,10.1021/acs.jmedchem.1c00417,Propionamide Derivatives as Dual μ-Opioid Receptor Agonists and σ<sub>1</sub> Receptor Antagonists for the Treatment of Pain.,AZZWEVRFJNKFMF,SYHLJLZHXZVWRS,CCOCCN1CCN(C2(CN(C(=O)CC)c3cccc(C(F)(F)F)n3)CCOCC2)CC1,CCC(=O)N(CC1(N2CCN(CCOCC(F)(F)F)CC2)CCOCC1)c1cccc(C(F)(F)F)n1,CH3_to_CF3,3,15,1,"{""1"": -3, ""9"": 3}",1.4695864025277057,1.83310884639605,0.3635224438683444,0,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.g-1,mL.min-1.g-1,mL.min-1.kg-1,mL.min-1.kg-1,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,2025560,117665,10.1016/j.bmcl.2020.127744,Discovery and optimization of substituted oxalamides as novel heme-displacing IDO1 inhibitors.,BBNKZBRNGRLKCM,FBRYWFZUOHTANK,O=C(Nc1ccc(Cl)cc1)C(=O)N1CCC(c2ccnc3ccc(F)cc23)CC1,O=C(Nc1ccc(Cl)cc1F)C(=O)N1CCC(c2ccnc3ccc(F)cc23)CC1,Ar-H_to_Ar-F,1,9,1,"{""1"": -1, ""9"": 1}",1.0224283711854865,1.0681858617461617,0.04575749056067524,0,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.g-1,mL.min-1.g-1,mL.min-1.kg-1,mL.min-1.kg-1,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,2025560,117665,10.1016/j.bmcl.2020.127744,Discovery and optimization of substituted oxalamides as novel heme-displacing IDO1 inhibitors.,BBNKZBRNGRLKCM,HIGHKLARIHEXST,O=C(Nc1ccc(Cl)cc1)C(=O)N1CCC(c2ccnc3ccc(F)cc23)CC1,O=C(Nc1ccc(Cl)cc1)C(=O)N1CCC(c2ccnc3ccc(F)cc23)C(F)(F)C1,CH2_to_CF2,2,27,1,"{""1"": -2, ""9"": 2}",1.0224283711854865,1.13264385097308,0.1102154797875936,0,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.g-1,mL.min-1.g-1,mL.min-1.kg-1,mL.min-1.kg-1,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,1866293,112059,10.1021/acs.jmedchem.9b00662,"Discovery of Clinical Candidate (1R,4r)-4-((R)-2-((S)-6-Fluoro-5H-imidazo[5,1-a]isoindol-5-yl)-1-hydroxyethyl)cyclohexan-1-ol (Navoximod), a Potent and Selective Inhibitor of Indoleamine 2,3-Dioxygenase 1.",BBYFCKZHLMMOBN,FPKRCRNJVIHTNG,OC(CC1c2ccccc2-c2cncn21)C1CCC(F)(F)CC1,OC(CC1c2c(F)cccc2-c2cncn21)C1CCC(F)(F)CC1,Ar-H_to_Ar-F,1,5,1,"{""1"": -1, ""9"": 1}",1.1643528557844371,1.1838390370564211,0.019486181271983982,0,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.kg-1,mL.min-1.kg-1,,,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,461634,38225,10.1016/j.bmcl.2007.10.109,Development of CXCR3 antagonists. Part 3: Tropenyl and homotropenyl-piperidine urea derivatives.,BGASECYWIDYDAE,CDGXEEULJKFSAV,CC(=O)N1C2C=C(CN3CCC(NC(=O)Nc4cccc(OC(C)C)c4)CC3)CC1CCC2,CC(=O)N1C2C=C(CN3CCC(NC(=O)Nc4cc(F)cc(OC(C)C)c4)CC3)CC1CCC2,Ar-H_to_Ar-F,1,18,1,"{""1"": -1, ""9"": 1}",1.4106085425683679,1.7671558660821804,0.3565473235138126,0,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.g-1,mL.min-1.g-1,mL.min-1.kg-1,mL.min-1.kg-1,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,2217294,123562,10.1021/acs.jmedchem.2c00791,Discovery of Novel Quinoline-Based Proteasome Inhibitors for Human African Trypanosomiasis (HAT).,BGWLGNRSSMAHHB,LQHOLRQMPQPNAX,Cc1cc2c(Nc3ccccc3)cc(C(=O)NC3CC3)nc2cn1,Cc1cc2c(Nc3ccccc3F)cc(C(=O)NC3CC3)nc2cn1,Ar-H_to_Ar-F,1,11,1,"{""1"": -1, ""9"": 1}",1.8085485512404054,1.4661258704181992,-0.34242268082220617,1,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.g-1,mL.min-1.g-1,mL.min-1.kg-1,mL.min-1.kg-1,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,966355,73970,10.1016/j.bmcl.2013.04.040,Discovery of potent and efficacious urea-containing nicotinamide phosphoribosyltransferase (NAMPT) inhibitors with reduced CYP2C9 inhibition properties.,BIFUICSRZIQHFK,ORDWPEHFKJXJKD,CC1CCN(S(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)CCN1,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCNC(C(F)(F)F)CC2)cc1,CH3_to_CF3,3,23,1,"{""1"": -3, ""9"": 3}",0.6989700043360189,1.255272505103306,0.5563025007672872,0,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.kg-1,mL.min-1.kg-1,,,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,559940,44953,10.1016/j.bmcl.2008.10.072,The discovery of biaryl carboxamides as novel small molecule agonists of the motilin receptor.,BIWJKJXYGNNLAQ,FEISRPDXMKTQEL,C[C@@H]1CN(Cc2ccc(-c3cccnc3C(=O)N3CCC(Nc4cccc(F)c4)CC3)cc2)C[C@H](C)N1,C[C@@H]1CN(Cc2ccc(-c3cccnc3C(=O)N3CCC(Nc4cccc(F)c4)CC3)cc2F)C[C@H](C)N1,Ar-H_to_Ar-F,1,32,1,"{""1"": -1, ""9"": 1}",0.7116385382323491,1.0413137153458603,0.32967517711351113,0,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.g-1,mL.min-1.g-1,mL.min-1.kg-1,mL.min-1.kg-1,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,559940,44953,10.1016/j.bmcl.2008.10.072,The discovery of biaryl carboxamides as novel small molecule agonists of the motilin receptor.,BIWJKJXYGNNLAQ,XYDHHTQFZABPJP,C[C@@H]1CN(Cc2ccc(-c3cccnc3C(=O)N3CCC(Nc4cccc(F)c4)CC3)cc2)C[C@H](C)N1,C[C@@H]1CN(Cc2ccc(-c3cccnc3C(=O)N3CCC(Nc4ccc(F)c(F)c4)CC3)cc2)C[C@H](C)N1,Ar-H_to_Ar-F,1,25,1,"{""1"": -1, ""9"": 1}",0.7116385382323491,0.9132839017604184,0.20164536352806928,0,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.g-1,mL.min-1.g-1,mL.min-1.kg-1,mL.min-1.kg-1,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,812134,61472,10.1016/j.bmcl.2012.01.015,"Discovery and hit-to-lead optimization of pyrrolopyrimidines as potent, state-dependent Na(v)1.7 antagonists.",BJWJWHANJDRZGO,SSECJOYWYAMJRN,Cc1cccc(Cn2ccc3c(OC4CCN(Cc5cscn5)CC4)ncnc32)c1,FC(F)(F)c1cccc(Cn2ccc3c(OC4CCN(Cc5cscn5)CC4)ncnc32)c1,CH3_to_CF3,3,1,1,"{""1"": -3, ""9"": 3}",2.4429342077562657,2.4591209688495406,0.016186761093274882,0,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.g-1,mL.min-1.g-1,mL.min-1.kg-1,mL.min-1.kg-1,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,2119139,120785,10.1021/acs.jmedchem.1c01102,"Discovery of GSK251: A Highly Potent, Highly Selective, Orally Bioavailable Inhibitor of PI3Kδ with a Novel Binding Mode.",BPHJDOCHBUUJJH,WCFBNVGQXVMWGW,COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1cncc(-c2ccc(CN3CCN(C(C)C)CC3)cc2)c1,COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1cncc(-c2ccc(CN3CCN(C(C)C)CC3)cc2F)c1,Ar-H_to_Ar-F,1,38,1,"{""1"": -1, ""9"": 1}",-0.14874165128092473,-0.18708664335714442,-0.03834499207621969,1,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.kg-1,mL.min-1.kg-1,,,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,572699,47378,10.1021/jm900302q,In vitro intrinsic clearance-based optimization of N3-phenylpyrazinones as corticotropin-releasing factor-1 (CRF1) receptor antagonists.,BPXDUSXOXMQMQG,ZVYMPNPFRZXBAV,CC[C@H](C1CC1)n1cc(Cl)nc(Nc2c(Cl)cc(OC)cc2Cl)c1=O,CC[C@H](C1CC1)n1cc(Cl)nc(Nc2c(Cl)cc(OC(F)(F)F)cc2Cl)c1=O,OCH3_to_OCF3,3,19,1,"{""1"": -3, ""9"": 3}",2.6020599913279625,1.8864907251724818,-0.7155692661554807,1,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.kg-1,mL.min-1.kg-1,,,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,1793528,109728,10.1021/acs.jmedchem.8b01222,Reducing the Lipophilicity of Perfluoroalkyl Groups by CF2-F/CF2-Me or CF3/CH3 Exchange.,BQETYKDISHDCOA,QNCXUOUEILJXBM,CN(C)C(=O)CNCCc1cccc(OCC(F)(F)C(C)(F)F)c1,CN(C)C(=O)CNCCc1cccc(OCC(F)(F)C(F)(F)C(F)(F)F)c1,CH3_to_CF3,3,22,1,"{""1"": -3, ""9"": 3}",1.0681858617461617,0.9712758487381052,-0.09691001300805646,1,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.g-1,mL.min-1.g-1,mL.min-1.kg-1,mL.min-1.kg-1,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,1845911,111567,10.1021/acs.jmedchem.0c00628,"Discovery of <i>N</i>-Ethyl-4-[2-(4-fluoro-2,6-dimethyl-phenoxy)-5-(1-hydroxy-1-methyl-ethyl)phenyl]-6-methyl-7-oxo-1<i>H</i>-pyrrolo[2,3-<i>c</i>]pyridine-2-carboxamide (ABBV-744), a BET Bromodomain Inhibitor with Selectivity for the Second Bromodomain.",BRNKGSOZDWZJCS,OEDSFMUSNZDJFD,CCNC(=O)c1cc2c(-c3cc(C(C)(C)O)ccc3Oc3c(C)cccc3C)cn(C)c(=O)c2[nH]1,CCNC(=O)c1cc2c(-c3cc(C(C)(C)O)ccc3Oc3c(C)cc(F)cc3C)cn(C)c(=O)c2[nH]1,Ar-H_to_Ar-F,1,24,1,"{""1"": -1, ""9"": 1}",2.7900528212147466,2.1563371008708097,-0.633715720343937,1,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.kg-1,mL.min-1.kg-1,,,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,456230,37632,10.1016/j.bmcl.2007.05.034,"Discovery of cyclopentane- and cyclohexane-trans-1,3-diamines as potent melanin-concentrating hormone receptor 1 antagonists.",BRODPNKAATZBFH,BAPWSOFUQJAPJS,Cc1cc(N[C@H]2CCC[C@H](NCc3ccsc3)C2)nc2ccccc12,FC(F)(F)c1cc(N[C@H]2CCC[C@H](NCc3ccsc3)C2)nc2ccccc12,CH3_to_CF3,3,1,1,"{""1"": -3, ""9"": 3}",1.8463371121298053,1.9006947744523979,0.05435766232259254,0,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.g-1,mL.min-1.g-1,mL.min-1.kg-1,mL.min-1.kg-1,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,2145313,121460,10.1021/acs.jmedchem.1c00715,"Design, Synthesis, and Biological Evaluation of Stable Colchicine-Binding Site Tubulin Inhibitors 6-Aryl-2-benzoyl-pyridines as Potential Anticancer Agents.",BTWMVPMEPRQKQD,JZHPUOFRNWNYQR,COc1cc(C(=O)c2cccc(-c3ccc(C)c(O)c3)n2)cc(OC)c1OC,COc1cc(C(=O)c2nc(-c3ccc(C)c(O)c3)ccc2F)cc(OC)c1OC,Ar-H_to_Ar-F,1,20,1,"{""1"": -1, ""9"": 1}",2.06595298031387,1.6263403673750423,-0.4396126129388276,1,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.kg-1,mL.min-1.kg-1,,,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
HLM,964542,73860,10.1016/j.bmcl.2012.11.109,"Discovery and SAR of PF-4693627, a potent, selective and orally bioavailable mPGES-1 inhibitor for the potential treatment of inflammation.",BVUIHNKCEFPMBL,DHTAHLOHNJKTIE,Cc1cc2oc(N3CCC(C(=O)N[C@H]4CCC[C@H](CO)C4)CC3)nc2cc1Cl,O=C(N[C@H]1CCC[C@H](CO)C1)C1CCN(c2nc3cc(Cl)c(C(F)F)cc3o2)CC1,CH2_to_CF2,2,22,1,"{""1"": -2, ""9"": 2}",1.4517864355242902,1.60422605308447,0.15243961756017987,0,1,1,0.0,0.0,0.0,CL,CL,mL.min-1.kg-1,mL.min-1.kg-1,,,1,1,0,0,1,0,1,1,pending,Verify the parent/fluorinated identity and assay-table values in the cited source.
