Internal ID,Vendor ID,SMILES,CollectionName,LOG HLM_CLint (mL/min/kg),LOG MDR1-MDCK ER (B-A/A-B),LOG SOLUBILITY PH 6.8 (ug/mL),LOG PLASMA PROTEIN BINDING (HUMAN) (% unbound),LOG PLASMA PROTEIN BINDING (RAT) (% unbound),LOG RLM_CLint (mL/min/kg),valid_structure,canonical_smiles,murcko_scaffold,is_fluorinated,fluorine_subgroup,fluoro_F_count,fluoro_has_fluorine,fluoro_F_fraction_heavy,fluoro_fluorinated_carbon_count,fluoro_max_F_per_carbon,fluoro_single_F_carbon_count,fluoro_CF2_carbon_count,fluoro_CF3_carbon_count,fluoro_CHF_carbon_count,fluoro_CH2F_carbon_count,fluoro_trifluoromethyl_count,fluoro_aryl_F_count,fluoro_alkyl_F_count,fluoro_vinyl_F_count,fluoro_ring_bound_F_count,fluoro_fluorinated_aromatic_ring_count,fluoro_aryl_CF3_count,fluoro_alpha_hetero_F_count,fluoro_beta_hetero_F_count,fluoro_F_within_2_bonds_hetero_count,fluoro_F_within_3_bonds_hetero_count,fluoro_F_to_hetero_min_distance,fluoro_F_to_hetero_mean_min_distance,fluoro_ortho_hetero_aromatic_F_count,fluoro_meta_hetero_aromatic_F_count,fluoro_para_hetero_aromatic_F_count,fluoro_F_atom_gasteiger_charge_mean,fluoro_F_atom_gasteiger_charge_min,fluoro_F_atom_gasteiger_charge_max,fluoro_CF_carbon_gasteiger_charge_mean,fluoro_CF_carbon_degree_mean,fluoro_CF_carbon_total_h_mean,fluoro_CF_bond_length_mean_A,fluoro_CF_bond_length_min_A,fluoro_CF_bond_length_max_A,fluoro_F_substituent_entropy,official_hlm_split,hash_hlm_split,scaffold_fold,hlm_left_censored,rlm_left_censored,paired_endpoint_available,log_clint_human_minus_rat,hlm_low_clearance
Mol11,43216036,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,emolecules,0.675686709,2.305351369,,1.378597739,2.0,1.28368559,True,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,c1nc(-c2cnn(C3CNC3)c2)c2cc[nH]c2n1,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,train,test,2,1,0,1,-0.6079988809999999,1.0
Mol12,2171363,COc1ccc(S(=O)(=O)N2CCC(N3CCC(C)CC3)CC2)cc1,emolecules,1.198299609,0.097722674,1.751610089,1.729799023,1.626076768,2.138776216,True,COc1ccc(S(=O)(=O)N2CCC(N3CCC(C)CC3)CC2)cc1,O=S(=O)(c1ccccc1)N1CCC(N2CCCCC2)CC1,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,test,train,4,0,0,1,-0.9404766070000001,1.0
Mol13,36366966,CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,emolecules,2.004110625,0.891865247,,-0.449771647,-0.325138859,2.365560985,True,CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,O=C(Nc1cccc(Oc2cc3[nH]c(-c4cnon4)nc3cn2)c1)c1ccc(OCCN2CCOCC2)cc1,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,train,train,3,0,0,1,-0.3614503600000001,0.0
Mol14,50283346,CC1(C)CC[C@]2(NC(=O)C(C)(F)F)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]3(C)CC[C@H]3C(C)(C)C(=O)C(C#N)=C[C@]43C)[C@@H]2C1,emolecules,1.884823674,0.79989303,,,-0.055517328,2.160423509,True,CC1(C)CC[C@]2(NC(=O)C(C)(F)F)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,O=C1C=CC2C3=CC(=O)[C@H]4C(CCC5CCCC[C@H]54)C3CC[C@H]2C1,1,CF2-containing,2,1,0.05,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,2,3.0,3.0,0,0,0,-0.19611379303518414,-0.19611379303518414,-0.19611379303518414,0.3214081376701935,4.0,0.0,,,,-0.0,not_in_hlm_endpoint,train,4,0,0,1,-0.2755998350000002,0.0
Mol15,44811754,Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12,emolecules,1.155882358,0.402661496,,-1.22184875,-0.68613278,2.238813599,True,Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12,c1cc(Nc2ccc(Oc3ccnc4[nH]ccc34)cc2)ncn1,1,aryl-F without CF3,2,1,0.07142857142857142,2,1,2,0,0,0,0,0,2,0,0,2,1,0,0,2,0,2,3.0,3.0,0,0,0,-0.20267137882535596,-0.20267137882535596,-0.20267137882535596,0.1703727791384343,3.0,0.0,,,,1.0,train,train,0,0,0,1,-1.0829312410000003,1.0
Mol16,300112437,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,emolecules,1.564145072,1.868344533,1.818225894,1.730984039,1.615139594,2.2125152,True,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,O=C1Cc2ccccc2CCN1CCCNC[C@H]1Cc2ccccc21,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,train,train,3,0,0,1,-0.6483701279999998,1.0
Mol17,48544545,N#Cc1ccc2[nH]c(O)c(-c3ccc(CN4CCOCC4)cn3)c2c1,emolecules,1.048286393,1.414640239,1.414137362,,1.072507236,1.849836922,True,N#Cc1ccc2[nH]c(O)c(-c3ccc(CN4CCOCC4)cn3)c2c1,c1ccc2c(-c3ccc(CN4CCOCC4)cn3)c[nH]c2c1,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,train,train,4,0,0,1,-0.801550529,1.0
Mol18,44507857,CCCc1cc(N2CCc3c(nc(C4CC4)n3C)C2)n2ncnc2n1,emolecules,0.983626287,1.582757474,1.726482697,1.677187053,1.388207807,2.25299858,True,CCCc1cc(N2CCc3c(nc(C4CC4)n3C)C2)n2ncnc2n1,c1cc(N2CCc3[nH]c(C4CC4)nc3C2)n2ncnc2n1,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,test,train,4,0,0,1,-1.269372293,1.0
Mol19,194974866,Fc1ccc(-c2ccc3c(c2)[nH]c2ccncc23)cn1,emolecules,1.226135722,-0.329004434,,0.653405491,0.640978057,2.208589142,True,Fc1ccc(-c2ccc3c(c2)[nH]c2ccncc23)cn1,c1cncc(-c2ccc3c(c2)[nH]c2ccncc23)c1,1,aryl-F without CF3,1,1,0.05,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,2.0,2.0,1,0,0,-0.18495950965745858,-0.18495950965745858,-0.18495950965745858,0.212326509611141,3.0,0.0,,,,-0.0,train,test,2,0,0,1,-0.9824534200000001,1.0
Mol20,76751123,Nc1c(F)ccc2cnc(-n3ccc4ccncc43)cc12,emolecules,2.56594576,,,0.713910354,0.631443769,3.372693144,True,Nc1c(F)ccc2cnc(-n3ccc4ccncc43)cc12,c1ccc2cc(-n3ccc4ccncc43)ncc2c1,1,aryl-F without CF3,1,1,0.047619047619047616,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,3.0,3.0,0,0,0,-0.20470167936760064,-0.20470167936760064,-0.20470167936760064,0.1462391128303155,3.0,0.0,,,,-0.0,test,train,2,0,0,1,-0.8067473839999999,0.0
Mol21,106663882,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,emolecules,0.675686709,1.81723103,1.729974286,1.828227965,1.74597993,1.435764759,True,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,c1nc(N[C@@H]2CCCNC2)c2cc[nH]c2n1,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,train,test,0,1,0,1,-0.76007805,1.0
Mol22,271384825,Cn1cc(Nc2nccc(N3CC4CCC(C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,emolecules,0.860996437,1.600468919,,1.642995934,1.786412441,1.511656132,True,Cn1cc(Nc2nccc(N3CC4CCC(C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,O=C(C1CC1)N1C2CCC1CN(c1ccnc(Nc3cn[nH]c3)n1)C2,1,CF2-containing,2,1,0.07142857142857142,1,2,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4.0,4.0,0,0,0,-0.2059479424430632,-0.2059479424430632,-0.2059479424430632,0.26037210325176,4.0,0.0,,,,-0.0,not_in_hlm_endpoint,train,0,0,0,1,-0.650659695,1.0
Mol23,316756775,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,emolecules,0.675686709,2.05650206,1.229809783,1.186566481,1.236577565,1.417438476,True,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,O=C(Nc1cc(Nc2cccc(-c3nc[nH]n3)c2)cnn1)C1CC1,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,train,train,3,1,0,1,-0.741751767,1.0
Mol24,114309331,C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,emolecules,2.282135893,1.393231611,1.004321374,0.752995432,0.901294817,3.161600362,True,C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,c1ccc(Oc2ccc(-c3cncnc3NCC3CCNCC3)cc2)cc1,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,train,train,4,0,0,1,-0.8794644690000002,0.0
Mol25,53744933,Nc1n[nH]cc1-c1cc(Cl)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,emolecules,1.066176786,1.882226244,1.475235223,-0.354577731,-0.08249449,1.571266162,True,Nc1n[nH]cc1-c1cc(Cl)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,O=S(=O)(Nc1cscn1)c1ccc(Oc2ccccc2-c2cn[nH]c2)cc1,1,aryl-F without CF3,1,1,0.03225806451612903,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,3.0,3.0,0,0,0,-0.20534314331036102,-0.20534314331036102,-0.20534314331036102,0.14705040883088008,3.0,0.0,,,,-0.0,not_in_hlm_endpoint,train,4,0,0,1,-0.5050893759999999,1.0
Mol26,207623013,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,emolecules,1.05709529,0.531991235,0.380211242,0.436162647,0.326540669,1.637629802,True,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,O=c1[nH]c2ccccc2c(=O)n1-c1cccc(-c2cccc3[nH]c4c(c23)CCCC4)c1,1,aryl-F without CF3,2,1,0.047619047619047616,2,1,2,0,0,0,0,0,2,0,0,2,2,0,0,1,0,1,3.0,4.0,0,1,0,-0.20546895923573605,-0.20627046178059258,-0.2046674566908795,0.13970002319222963,3.0,0.0,,,,1.0,train,train,2,0,0,1,-0.5805345120000001,1.0
Mol27,324038090,Cn1cc(-c2cn3nccc3c(-c3cnn([C@]4(CC#N)C[C@@H](C#N)C4)c3)n2)cn1,emolecules,0.675686709,1.726392071,0.342422681,1.559583476,1.364100521,1.027920136,True,Cn1cc(-c2cn3nccc3c(-c3cnn([C@]4(CC#N)C[C@@H](C#N)C4)c3)n2)cn1,c1cc2c(-c3cnn(C4CCC4)c3)nc(-c3cn[nH]c3)cn2n1,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,train,train,4,1,1,1,-0.35223342700000004,1.0
Mol28,322748925,O=C(Nc1cccnc1)c1ccnc(NC(=O)C2CC2)c1,emolecules,0.675686709,0.448797935,1.610127613,,1.615287063,1.436051275,True,O=C(Nc1cccnc1)c1ccnc(NC(=O)C2CC2)c1,O=C(Nc1cccnc1)c1ccnc(NC(=O)C2CC2)c1,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,train,train,2,1,0,1,-0.760364566,1.0
Mol29,316162153,O=C(c1ccc(Oc2ccccc2)cc1Cl)c1c[nH]c2ncnc(N[C@@H]3CC[C@@H](CO)OC3)c12,emolecules,0.675686709,0.832551262,,-0.467245621,-0.295849483,1.027920136,True,O=C(c1ccc(Oc2ccccc2)cc1Cl)c1c[nH]c2ncnc(N[C@@H]3CC[C@@H](CO)OC3)c12,O=C(c1ccc(Oc2ccccc2)cc1)c1c[nH]c2ncnc(N[C@@H]3CCCOC3)c12,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,test,test,3,1,1,1,-0.35223342700000004,1.0
Mol30,36557633,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,emolecules,,1.035733431,1.538196578,0.630986911,1.244598701,2.607477542,True,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,c1nc(-c2cnn(CC3CCCC3)c2)c2cc[nH]c2n1,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,not_in_hlm_endpoint,not_in_hlm_endpoint,,0,0,0,,
Mol31,1447149,CC(C)(C)c1ccc(-c2nc3n(c(=O)c2C#N)CCS3)cc1,emolecules,0.932980822,,0.397940009,0.731266349,0.455758203,2.281224324,True,CC(C)(C)c1ccc(-c2nc3n(c(=O)c2C#N)CCS3)cc1,O=c1cc(-c2ccccc2)nc2n1CCS2,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,train,train,4,0,0,1,-1.348243502,1.0
Mol32,75542235,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1,emolecules,0.990827051,1.931719426,,-0.049635146,-0.308918508,2.322653372,True,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1,c1ccc(Oc2nc(Nc3ccc(N4CCNCC4)cc3)nc3ccsc23)cc1,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,train,train,1,0,0,1,-1.3318263209999999,1.0
Mol33,LN01345100,CC#CC(=O)N1CC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,labnetworkBB,1.329092647,1.460944843,1.810232518,0.935859798,0.669595781,2.272106283,True,CC#CC(=O)N1CC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,O=c1n(-c2ccc(Oc3ccccc3)cc2)c2cncnc2n1[C@@H]1CCNC1,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,train,test,0,0,0,1,-0.9430136359999999,1.0
Mol34,168890455,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,emolecules,1.761739954,1.705596867,,0.968996327,0.231979027,2.758344821,True,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,c1ccc(Oc2ccc(-c3cc4n(n3)[C@H](C3CCNCC3)CCN4)cc2)cc1,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,test,train,1,0,0,1,-0.9966048670000001,0.0
Mol35,68868488,C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,emolecules,2.219660482,0.762732149,1.75089392,0.983851719,0.276231958,2.712971095,True,C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,O=c1n(-c2ccc(Oc3ccccc3)cc2)c2cncnc2n1[C@H]1CCCNC1,0,nonfluorinated,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,,,train,test,2,0,0,1,-0.4933106129999998,0.0
Mol36,316276642,CC(C)(C=C(C#N)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1)N1CCN(C2COC2)CC1,emolecules,2.728516916,1.555038433,1.553276046,0.276231958,0.123198075,3.056338375,True,CC(C)(C=C(C#N)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1)N1CCN(C2COC2)CC1,O=C(C=CCN1CCN(C2COC2)CC1)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3cncnc32)C1,1,aryl-F without CF3,1,1,0.02040816326530612,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,4.0,4.0,0,0,1,-0.20611284576645122,-0.20611284576645122,-0.20611284576645122,0.1358998444434969,3.0,0.0,,,,-0.0,train,test,1,0,0,1,-0.32782145900000037,0.0
Mol37,324043470,CC#CC(=O)N1CC[C@@H](n2cc(-c3ccc(Oc4c(F)cccc4F)cc3)c3c(N)n[nH]c(=O)c32)C1,emolecules,1.620136055,1.70079951,0.431363764,-0.073143291,-0.029188389,2.715512815,True,CC#CC(=O)N1CC[C@@H](n2cc(-c3ccc(Oc4c(F)cccc4F)cc3)c3c(N)n[nH]c(=O)c32)C1,O=c1[nH]ncc2c(-c3ccc(Oc4ccccc4)cc3)cn([C@@H]3CCNC3)c12,1,aryl-F without CF3,2,1,0.05555555555555555,2,1,2,0,0,0,0,0,2,0,0,2,1,0,0,2,0,2,3.0,3.0,0,0,0,-0.20275513296507497,-0.20275513296507497,-0.20275513296507497,0.16830375516217044,3.0,0.0,,,,1.0,train,train,1,0,0,1,-1.09537676,1.0
